sepal_length,sepal_width,petal_length,petal_width,petal_area_mm2,species
5.1,3.5,1.4,0.2,27.999999999999996,setosa
4.9,3.0,1.4,0.2,27.999999999999996,setosa
4.7,3.2,1.3,0.2,26.0,setosa
5.0,3.1,1.5,0.2,30.000000000000004,setosa
5.0,3.6,1.4,0.2,27.999999999999996,setosa
5.4,3.9,1.7,0.4,68.0,setosa
4.6,3.4,1.4,0.3,42.0,setosa
5.0,3.4,1.5,0.2,30.000000000000004,setosa
4.4,2.9,1.4,0.2,27.999999999999996,setosa
4.9,3.1,1.5,0.1,15.000000000000002,setosa
5.4,3.7,1.5,0.2,30.000000000000004,setosa
4.8,3.4,1.6,0.2,32.00000000000001,setosa
4.8,3.0,1.4,0.1,13.999999999999998,setosa
5.0,3.0,1.1,0.2,22.000000000000004,setosa
5.8,4.0,1.2,0.2,24.0,setosa
5.7,3.4,1.5,0.4,60.00000000000001,setosa
5.0,3.9,1.3,0.4,52.0,setosa
5.1,3.5,1.4,0.3,42.0,setosa
5.7,3.8,1.7,0.2,34.0,setosa
5.1,3.8,1.5,0.3,44.99999999999999,setosa
5.4,3.4,1.7,0.2,34.0,setosa
5.1,3.7,1.5,0.4,60.00000000000001,setosa
4.6,3.6,1.0,0.2,20.0,setosa
5.1,3.3,1.7,0.5,85.0,setosa
4.8,3.4,1.9,0.2,38.0,setosa
5.0,3.0,1.6,0.2,32.00000000000001,setosa
5.0,3.4,1.6,0.4,64.00000000000001,setosa
5.2,3.5,1.5,0.2,30.000000000000004,setosa
5.2,3.4,1.4,0.2,27.999999999999996,setosa
4.7,3.2,1.6,0.2,32.00000000000001,setosa
4.8,3.1,1.6,0.2,32.00000000000001,setosa
5.4,3.4,1.5,0.4,60.00000000000001,setosa
5.2,4.1,1.5,0.1,15.000000000000002,setosa
5.5,4.2,1.4,0.2,27.999999999999996,setosa
4.9,3.1,1.5,0.2,30.000000000000004,setosa
5.0,3.2,1.2,0.2,24.0,setosa
5.5,3.5,1.3,0.2,26.0,setosa
4.9,3.6,1.4,0.1,13.999999999999998,setosa
4.4,3.0,1.3,0.2,26.0,setosa
5.1,3.4,1.5,0.2,30.000000000000004,setosa
5.0,3.5,1.3,0.3,39.0,setosa
4.5,2.3,1.3,0.3,39.0,setosa
4.4,3.2,1.3,0.2,26.0,setosa
5.0,3.5,1.6,0.6,96.0,setosa
5.1,3.8,1.9,0.2,38.0,setosa
4.8,3.0,1.4,0.3,42.0,setosa
5.1,3.8,1.6,0.2,32.00000000000001,setosa
5.0,3.2,1.4,0.2,27.999999999999996,setosa
5.3,3.7,1.5,0.2,30.000000000000004,setosa
5.0,3.3,1.4,0.2,27.999999999999996,setosa
5.9,3.2,4.7,1.4,658.0,versicolor
6.4,3.2,4.5,1.5,675.0,versicolor
6.9,3.1,4.9,1.5,735.0,versicolor
5.5,2.3,4.0,1.3,520.0,versicolor
6.5,2.8,4.6,1.5,690.0,versicolor
5.7,2.8,4.5,1.3,585.0,versicolor
6.3,3.3,4.7,1.3,611.0,versicolor
4.9,2.4,3.3,1.0,330.0,versicolor
6.6,2.9,4.6,1.3,598.0,versicolor
5.9,2.7,3.9,1.4,546.0,versicolor
5.0,2.0,3.5,1.0,350.0,versicolor
5.9,3.0,4.2,1.5,630.0000000000001,versicolor
6.0,2.2,4.0,1.0,400.0,versicolor
6.1,2.9,4.7,1.4,658.0,versicolor
5.6,2.9,3.6,1.3,468.00000000000006,versicolor
6.7,3.1,4.4,1.4,616.0,versicolor
5.6,3.0,4.5,1.5,675.0,versicolor
5.8,2.7,4.1,1.0,409.99999999999994,versicolor
6.2,2.2,4.5,1.5,675.0,versicolor
5.6,2.5,3.9,1.1,429.0,versicolor
5.9,2.8,4.8,1.8,864.0,versicolor
6.1,2.8,4.0,1.3,520.0,versicolor
6.3,2.5,4.9,1.5,735.0,versicolor
6.1,2.8,4.7,1.2,564.0,versicolor
6.4,2.9,4.3,1.3,559.0,versicolor
6.6,3.0,4.4,1.4,616.0,versicolor
6.8,2.8,4.8,1.4,672.0,versicolor
6.7,3.0,5.0,1.7,850.0,versicolor
6.0,2.9,4.5,1.5,675.0,versicolor
5.7,2.6,3.5,1.0,350.0,versicolor
5.5,2.4,3.8,1.1,418.0,versicolor
5.5,2.4,3.7,1.0,370.0,versicolor
5.8,2.7,3.9,1.2,468.0,versicolor
6.0,2.7,5.1,1.6,816.0,versicolor
5.4,3.0,4.5,1.5,675.0,versicolor
6.0,3.4,4.5,1.6,720.0,versicolor
6.7,3.1,4.7,1.5,705.0000000000001,versicolor
6.3,2.3,4.4,1.3,572.0000000000001,versicolor
5.6,3.0,4.1,1.3,533.0,versicolor
5.5,2.5,4.0,1.3,520.0,versicolor
5.5,2.6,4.4,1.2,528.0,versicolor
6.1,3.0,4.6,1.4,644.0,versicolor
5.8,2.6,4.0,1.3,520.0,versicolor
5.0,2.3,3.3,1.0,330.0,versicolor
